 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: This link is updated weekly. If you download a copy, you will not have the updated version. Bookmark the link instead.

Foreign Nationals UW guidelines added to the very last row of the sheet, MOO GULE removed (discontinued product)",AIG Guaranteed Issue ,"AIG (SIWL)
",American Amicable Senior Choice Immediate,American Amicable Senior Choice Graded,American Amicable Senior Choice Return of Premium,"American Amicable (Family Choice)
","American Amicable (Family Protector Family Plan)
","American Amicable (Senior Choice)
",American Home Life,"American Home Life (GuideStar 0-44)
","American Home Life (GuideStar 45+)
","American Home Life (Patriot Series)
",Baltimore Life,"Cica Life (Superior Choice)
",CFG,Columbian Financial Group Dignified Choice Elite,Columbian Financial Group Dignified Choice Select,Columbian Financial Group Dignified Choice Advantage,"Foresters (Plan Right)
",Foresters Plan Right Preferred,Foresters Plan Right Standard,Foresters Plan Right Basic,Foresters Advantage Plus II,"Great Western
","Guarantee Trust Life (Life Select)
",Lafayette Life,"Liberty Bankers  (Simple Preferred, Standard, or Modified)","Lincoln Heritage
",Lumico,"Mutual of Omaha (Children's Whole Life)
","Mutual of Omaha (Living Promise)
",Mutual of Omaha Living Promise Level,Mutual of Omaha Living Promise Graded,NATIONAL LIFE GROUP ELITE (Non-Smokers only),NATIONAL LIFE GROUP  PREFERRED (Smokers Allowed),NATIONAL LIFE GROUP SELECT (Non-Smokers Only),NATIONAL LIFE GROUP STANDARD (Smokers allowed),Quility Secure Future Preferred,Royal Neighbors Level,Royal Neighbors Graded,"Royal Neighbors (Ensured Legacy FEX)
","Royal Arcanum (SIWL)
","SBLI (Living Legacy)
","Senior Life (Platinum Protection)
",TransAmerica Easy Solution ,TransAmerica Immediate  Solution Preferred,TransAmerica Immediate Solution Standard,Transamerica (FEX Solutions),,Aetna ACCENDO PREFERRED,Aetna ACCENDO STANDARD,Aetna ACCENDO MODIFIED,"Aflac (Final Expense)
",American Continental,GPM,Prosperity New Vista Level,Prosperity New Vista Graded,Prosperity New Vista Modified,"Prosperity (PrimeTerm to 100)
","Prosperity (Vista Premier)
","Lifeshield
","Oxford
","Security National (Loyalty Plan)
",Sentinel,"Trinity Life
",TruStage,,,,,"Americo
",Americo Eagle Premier
Sales App Walkthrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage Type,GRADED,LEVEL,LEVEL,GRADED,GRADED,,,LEVEL,,,,LEVEL/GRADED,LEVEL,LEVEL,,LEVEL,LEVEL,GRADED,LEVEL,LEVEL,LEVEL,GRADED,LEVEL,,GRADED,,LEVEL/GRADED,,,LEVEL,LEVEL/GRADED,LEVEL,GRADED,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,GRADED,LEVEL/GRADED/GI,,LEVEL/GRADED,,GRADED,LEVEL,LEVEL,LEVEL/GRADED,,LEVEL,LEVEL,GRADED,,LEVEL,,LEVEL,GRADED,GRADED,,,,,,,,,,,,,,LEVEL
MAX FACE AMOUNT,"$5,000 - $25,000","$5,000 – $35,000","50–75 $35,000 
76 - 85 $20,000","$20,000","$20,000",,,"MIN $2,500 ($5,000 in WA)
Max 50 to 75: $35,000
         76 to 85: $20,000
Graded Death Benefit (50 to 85): $20,000
ROP Death Benefit (50 to 85): $20,000",,,,"Level:
40-55 $50,000
56-65 $40,000
66-75 $30,000
76-89 $25,000
Graded:
40-75 $25,000","$150,000","$35,000",,"18-24 $25,000
25-44 $35,000
45-80 $35,000
81-85 $25,000
min $5k in WA","18-24 $25,000
25-44 $35,000
45-80 $35,000
81-85 $25,000
min $5k in WA","$20,000","(Preferred)                          Ages 50-80: $35,000
Ages 81-85: $15,000           (Standard)                           Ages 50-80: $20,000
Ages 81-85: $10,000           (Basic)                                 Ages 50-80: $15,000","50-80 $35,000
81-86 $15,000","50-80 $20,000
81-85 $10,000","$15,000","0 - 15 $150,000
16 - 55 $400,000
56 - 75 $150,000",,"$10,000 to $150,000",,"Preferred or Standard: $3,000-40,000                             Modified: $1,000-20,000",,,"$5,000 - $50,000","Level Benefit Plan:
$2,000 - $50,000

Graded Benefit Plan:
$2,000 - $20,000","$40,000","$20,000","18-50 $2,000,000
51-60 $1,000,000
61-65    $250,000","18-50 $2,000,000
51-60 $1,000,000
61-65    $250,000","18-50 $2,000,000
51-60 $1,000,000
61-65    $250,000","18-50 $2,000,000
51-60 $1,000,000
61-65    $250,000","$100,000","$30,000","$10,000","(SIWL): Standard $5,000 - $40,000                             Preferred $25,000 - $40,000     

Graded (GDB): $5,000 - $20,000

(GI): $3,000 - $10,000",,"Preferred Non-Nicotine
° Ages 50-75: $35,000
° Ages 76+: $25,000
Standard Non-Nicotine & Nicotine 
° Ages 50-75: $25,000
° Ages 76+: $20,000             Modified
° Ages 50-75: $20,000
° Ages 76+: $15,000",,"$25,000","0–55 $50,000 56–65 $40,000
66–75 $30,000 76–85 $25,000","0–55 $50,000 
56–65 $40,000
66–75 $30,000 
76–85 $25,000","Immediate & 10 pay:         0–55: $50,000
56–65: $40,000
66–75: $30,000
76–85: $25,000            Easy Solution: $1,000-$25,000",,"40-55 $50,000
56-65 $40,000
66-75 $30,000
76-89 $25,000","40-55 $50,000
56-65 $40,000
66-75 $30,000
76-89 $25,000","40-75 $25,000",,"40-55 $50,000
56-65 $40,000
66-75 $30,000
76-89 $25,000",,"$35,000","$35,000","$35,000",,,,,,,,,,,,,,"$40,000"
AGE RANGE,50 - 80,HIV,50 - 85,50 - 85,50 - 85,,,50 - 85,,,,Level 40-89                                         Modified 40-75,"50-80
",0 - 85,,"18 - 85
",18 - 85,"40 - 85
NY only: 50-75",50-85                                              Basic: 50-80,50 - 85,50 - 85,50 - 80,0 - 75,,18-85,,Preferred or Standard: 18-80                                   Modified: 40-80,,,14 days to 17 years,"Level Benefit Plan:
45-85
Graded Benefit Plan:
45-80",45 - 85,45 - 80,18-65,18-65,18-65,18-65,50-85,50 - 75,50 - 75,"SIWL: 50 - 85 (Standard) and 50 - 75 (Preferred)
Graded:50 - 85
Guaranteed Issue : 50 - 80",,50-85,,"18 - 80
NY only: 50-75",0 - 85,0 - 85,Immediate & 10 pay: 0–85    Easy solution: 18-80,,40 - 89,40 - 89,40 - 75,,40 - 89,,55 - 80,55 - 80,55 - 80,,,,,,,,,,,,,,40 - 85
BUILD / UW GUIDE,NO BUILD CHART ,https://drive.google.com/file/d/1-10OvWmUqK5K0hWGzArao6v-iUKSN52u/view?usp=sharing build chart pg 7,https://drive.google.com/file/d/1c9D-QuvNHb_8SnBeXEqb0fG1Yoi7uHwb/view?usp=sharing,https://drive.google.com/file/d/1c9D-QuvNHb_8SnBeXEqb0fG1Yoi7uHwb/view?usp=sharing,https://drive.google.com/file/d/1c9D-QuvNHb_8SnBeXEqb0fG1Yoi7uHwb/view?usp=sharing,,,https://83cea077-ef69-458f-ac96-5ba721701b74.filesusr.com/ugd/002d25_34599a6cca584df9995aba555e28dcec.pdf Build Chart Pg. 13,AHL has NO build require - https://www.suppinsadmin.com/ssitpa/tpaSecure/amh/productsTools/commissionSchedules.html ,AHL has NO build require -https://www.suppinsadmin.com/ssitpa/tpaSecure/amh/productsTools/commissionSchedules.html,AHL has NO build require -https://www.suppinsadmin.com/ssitpa/tpaSecure/amh/productsTools/commissionSchedules.html,https://www.amhomelife.com/images/Underwriting-PSFE-Disease_Guide.pdf,https://baltlife.com/pdf/8420.pdf,https://drive.google.com/file/d/1SXKES_i4lIJA6n97vXt6qK410giTq6KH/view?usp=sharing NO BUILD CHART,,https://drive.google.com/file/d/1FGRLKBekDxAdPjjnvscytJyTJTyXv2E3/view?usp=sharing Build Chart Pg 6,https://drive.google.com/file/d/1FGRLKBekDxAdPjjnvscytJyTJTyXv2E3/view?usp=sharing Build Chart pg6,https://drive.google.com/file/d/1FGRLKBekDxAdPjjnvscytJyTJTyXv2E3/view?usp=sharing  Build Chart Pg6,https://docs.google.com/document/d/1F71rKuh1yIRz60Dvlep0EUC0bnggoTnV6EbPcUptXgA/edit?usp=sharing Build Chart Pg 2,https://drive.google.com/file/d/1LzNJmnRvSynCGoEOETRNocLdYVrQKZVE/view?usp=sharing,https://drive.google.com/file/d/1LzNJmnRvSynCGoEOETRNocLdYVrQKZVE/view?usp=sharing,https://drive.google.com/file/d/1LzNJmnRvSynCGoEOETRNocLdYVrQKZVE/view?usp=sharing,https://drive.google.com/file/d/1o8MZdKFDKihmGCScjdONcTZPVV5Cgbca/view?usp=sharing Build Chart Pg. 10,,https://downloads.gtlic.com/GTLink/Uploads/LAForms/GTL%20Life%20Select%20UW%20Guide%20Rv%2010_2024.pdf Build Chart Pg.3,,"Build Chart 
No Guidelines, questions in regards to underwriting, call Tricia @ (469) 522-4619 {7:30am-4pm CT}",,,https://drive.google.com/file/d/1a_2yUPDg4ia1S8zElTWbiuKAKQgdwrea/view?usp=sharing,https://drive.google.com/file/d/1a_2yUPDg4ia1S8zElTWbiuKAKQgdwrea/view?usp=sharing,https://drive.google.com/file/d/1cGRhnOVDt2-bncG_DuvhiGDUYiQn6yZM/view?usp=sharing,https://drive.google.com/file/d/1cGRhnOVDt2-bncG_DuvhiGDUYiQn6yZM/view?usp=sharing,https://drive.google.com/file/d/1n0a-pUtmpthTywUY4oGMUKA1GJRJxIt0/view?usp=sharing,https://drive.google.com/file/d/1n0a-pUtmpthTywUY4oGMUKA1GJRJxIt0/view?usp=sharing,https://drive.google.com/file/d/1n0a-pUtmpthTywUY4oGMUKA1GJRJxIt0/view?usp=sharing,https://drive.google.com/file/d/1n0a-pUtmpthTywUY4oGMUKA1GJRJxIt0/view?usp=sharing,https://www.sblibrokerage.com/wp-content/uploads/2023/11/23-1056-Quility-Agent-Guide-Final.pdf,"NO BUILD CHART / build chart does not require Height or Weight for standard siwl
https://drive.google.com/file/d/1JDk2_ZXuVrOz2SPFoAtwXkVNCN3h5OVy/view?usp=sharing","NO BUILD CHART / build chart does not require Height or Weight for standard siwl
https://drive.google.com/file/d/1JDk2_ZXuVrOz2SPFoAtwXkVNCN3h5OVy/view?usp=sharing",Build Chart  (build chart does not require Height or Weight for standard siwl)                              Underwriting,,Build Chart                       https://www.sbliagent.com/docs/SBLIUnderwritingGuide.pdf,,https://drive.google.com/file/d/1i1yC45ENs8_PbUU3Uwg5iuQN6lR_-1Ex/view?usp=sharing,https://drive.google.com/file/d/1i1yC45ENs8_PbUU3Uwg5iuQN6lR_-1Ex/view?usp=sharing,https://drive.google.com/file/d/1i1yC45ENs8_PbUU3Uwg5iuQN6lR_-1Ex/view?usp=sharing,https://drive.google.com/file/d/1yiLe5Vn44rUH6NkjGKarIqF2-p6Pm4V-/view?usp=sharing  *Build chart pg 15*,,"No Build Chart
https://83cea077-ef69-458f-ac96-5ba721701b74.filesusr.com/ugd/002d25_1624efaeaca041fe94dd8bd977ccf91c.pdf","No Build Chart
https://83cea077-ef69-458f-ac96-5ba721701b74.filesusr.com/ugd/002d25_1624efaeaca041fe94dd8bd977ccf91c.pdf","No Build Chart
https://83cea077-ef69-458f-ac96-5ba721701b74.filesusr.com/ugd/002d25_1624efaeaca041fe94dd8bd977ccf91c.pdf",,"NO BUILD CHART
https://drive.google.com/file/d/1jUrFanFsdUxnTCx-5VzyKVVENDAwG_Tt/view?usp=sharing",,https://drive.google.com/file/d/1OxQeatl6RVqgUVF70PGzZNR9BdePLug-/view?usp=sharing,https://drive.google.com/file/d/1OxQeatl6RVqgUVF70PGzZNR9BdePLug-/view?usp=sharing,https://drive.google.com/file/d/1OxQeatl6RVqgUVF70PGzZNR9BdePLug-/view?usp=sharing,,,,,,,https://drive.google.com/file/d/1o7vNWLYgBcnuH3HQyWUa8zaUsC2YTTfa/view?usp=sharing,,,,,,,https://83cea077-ef69-458f-ac96-5ba721701b74.filesusr.com/ugd/002d25_0bff89c508bc46deb0d6648e82ae1241.pdf
Sales Tool,https://connext.corebridgefinancial.com/life/connext-portal/public/login,https://connext.corebridgefinancial.com/life/connext-portal/public/login,,,,,,https://www.americanamicable.com/v3/agentLogin.php,https://www.suppinsadmin.com/ssitpa/amh/login.fcc?TYPE=33554433&REALMOID=06-f9efb62f-7746-4632-a0d8-8046577e1448&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-s%2f6v5SUbVzQ4z7UXJxBz1wUImgrt7d09vvkdd9fkkP9Ia%2bY2%2bQKSP728d%2fTN%2bXjQ&TARGET=-SM-HTTPS%3a%2f%2fwww%2esuppinsadmin%2ecom%2fssitpa%2ftpaSecure%2famh%2famhHome%2ehtml,https://www.suppinsadmin.com/ssitpa/amh/login.fcc?TYPE=33554433&REALMOID=06-f9efb62f-7746-4632-a0d8-8046577e1448&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-s%2f6v5SUbVzQ4z7UXJxBz1wUImgrt7d09vvkdd9fkkP9Ia%2bY2%2bQKSP728d%2fTN%2bXjQ&TARGET=-SM-HTTPS%3a%2f%2fwww%2esuppinsadmin%2ecom%2fssitpa%2ftpaSecure%2famh%2famhHome%2ehtml,https://www.suppinsadmin.com/ssitpa/amh/login.fcc?TYPE=33554433&REALMOID=06-f9efb62f-7746-4632-a0d8-8046577e1448&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-s%2f6v5SUbVzQ4z7UXJxBz1wUImgrt7d09vvkdd9fkkP9Ia%2bY2%2bQKSP728d%2fTN%2bXjQ&TARGET=-SM-HTTPS%3a%2f%2fwww%2esuppinsadmin%2ecom%2fssitpa%2ftpaSecure%2famh%2famhHome%2ehtml,https://www.suppinsadmin.com/ssitpa/amh/login.fcc?TYPE=33554433&REALMOID=06-f9efb62f-7746-4632-a0d8-8046577e1448&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-s%2f6v5SUbVzQ4z7UXJxBz1wUImgrt7d09vvkdd9fkkP9Ia%2bY2%2bQKSP728d%2fTN%2bXjQ&TARGET=-SM-HTTPS%3a%2f%2fwww%2esuppinsadmin%2ecom%2fssitpa%2ftpaSecure%2famh%2famhHome%2ehtml,https://agentportal.baltlife.com/,,,https://partners.cfglife.com/partners/auth/login?targetController=agentDashboard,https://partners.cfglife.com/partners/auth/login?targetController=agentDashboard,https://partners.cfglife.com/partners/auth/login?targetController=agentDashboard,https://myezbiz.foresters.com/my.policy,https://myezbiz.foresters.com/my.policy,https://myezbiz.foresters.com/my.policy,https://myezbiz.foresters.com/my.policy,https://myezbiz.foresters.com/my.policy,,https://eapp.gtlic.com/,,https://agent.lbig.com/,,,https://accounts.mutualofomaha.com/,https://accounts.mutualofomaha.com/,https://accounts.mutualofomaha.com/,https://accounts.mutualofomaha.com/,https://www.nationallife.com/,https://www.nationallife.com/,https://www.nationallife.com/,https://www.nationallife.com/,,https://agent.royalneighbors.org/,https://agent.royalneighbors.org/,https://agent.royalneighbors.org/,https://agent.royalneighbors.org/,https://www.sbliagent.com/agentauth/login.aspx?ReturnUrl=%2fagent%2f,,,,,,,,,,,,,https://insuranceadmin.com/agent/login.php,https://insuranceadmin.com/agent/login.php,https://insuranceadmin.com/agent/login.php,https://insuranceadmin.com/agent/login.php,https://insuranceadmin.com/agent/login.php,,,,,,,,,,,,
Quote Tool,https://giwl.life2.corebridgefinancial.com/,https://live.cloud.api.corebridgefinancial.com/life/MarketingSoftware/SimplinowQuoter,,,,,,https://www.insuranceapplication.com/AppPage/index.html,,,,https://www.suppinsadmin.com/ssitpa/amh/login.fcc?TYPE=33554433&REALMOID=06-f9efb62f-7746-4632-a0d8-8046577e1448&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-s%2f6v5SUbVzQ4z7UXJxBz1wUImgrt7d09vvkdd9fkkP9Ia%2bY2%2bQKSP728d%2fTN%2bXjQ&TARGET=-SM-HTTPS%3a%2f%2fwww%2esuppinsadmin%2ecom%2fssitpa%2ftpaSecure%2famh%2famhHome%2ehtml,https://agentportal.baltlife.com/,,,https://www.cfglife.com/illustrations-calculators-and-quotes/,https://www.cfglife.com/illustrations-calculators-and-quotes/,https://www.cfglife.com/illustrations-calculators-and-quotes/,https://www.forestersmobile.com/login,https://www.forestersmobile.com/login,https://www.forestersmobile.com/login,https://www.forestersmobile.com/login,https://www.forestersmobile.com/login,,https://eapp.gtlic.com/,,https://www.tappsolutions.com/calculators/calc-lbl-ord/web/index.html,,,https://www3.mutualofomaha.com/mobile-quotes/#/home,https://www3.mutualofomaha.com/mobile-quotes/#/home,https://www3.mutualofomaha.com/mobile-quotes/#/home,https://www3.mutualofomaha.com/mobile-quotes/#/home,,,,,,,,,,,,https://mytranswarequote.transamerica.com/Wl3.html?id=WL3IM,https://mytranswarequote.transamerica.com/Wl3.html?id=WL3IM,https://mytranswarequote.transamerica.com/Wl3.html?id=WL3IM,https://mytranswarequote.transamerica.com/Wl3.html?id=WL3IM,,https://www.aetnaseniorproducts.com/ssi/login.fcc?TYPE=33554433&REALMOID=06-b6795d4d-3004-4588-a799-63a4db15a01c&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-s7pFJAUCnH5Qp3pzu1lx8MibbZnWT%2b01G%2f6iCkHVxMsS0hd%2fsbmjhWe16MOGqvFRrS17O3IrRUBJqyBYHEvE5IyHDS9KZnck&TARGET=-SM-HTTPS%3a%2f%2fwww%2eaetnaseniorproducts%2ecom%2fssi%2fsecure%2fagentSecure%2fmyCompass%2ehtml,https://www.aetnaseniorproducts.com/ssi/login.fcc?TYPE=33554433&REALMOID=06-b6795d4d-3004-4588-a799-63a4db15a01c&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-s7pFJAUCnH5Qp3pzu1lx8MibbZnWT%2b01G%2f6iCkHVxMsS0hd%2fsbmjhWe16MOGqvFRrS17O3IrRUBJqyBYHEvE5IyHDS9KZnck&TARGET=-SM-HTTPS%3a%2f%2fwww%2eaetnaseniorproducts%2ecom%2fssi%2fsecure%2fagentSecure%2fmyCompass%2ehtml,https://www.aetnaseniorproducts.com/ssi/login.fcc?TYPE=33554433&REALMOID=06-b6795d4d-3004-4588-a799-63a4db15a01c&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-s7pFJAUCnH5Qp3pzu1lx8MibbZnWT%2b01G%2f6iCkHVxMsS0hd%2fsbmjhWe16MOGqvFRrS17O3IrRUBJqyBYHEvE5IyHDS9KZnck&TARGET=-SM-HTTPS%3a%2f%2fwww%2eaetnaseniorproducts%2ecom%2fssi%2fsecure%2fagentSecure%2fmyCompass%2ehtml,https://www.suppinsadmin.com/ssitpa/afl/login.fcc?TYPE=33554433&REALMOID=06-7c8fa642-baed-4867-8961-14bbfb4570e0&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-s%2f6v5SUbVzQ4z7UXJxBz1wUImgrt7d09vvkdd9fkkP9Ia%2bY2%2bQKSP728d%2fTN%2bXjQ&TARGET=-SM-HTTPS%3a%2f%2fwww%2esuppinsadmin%2ecom%2fssitpa%2ftpaSecure%2fafl%2faflHome%2ehtml,,,https://insuranceadmin.com/agent/login.php#,https://insuranceadmin.com/agent/login.php#,https://insuranceadmin.com/agent/login.php#,https://insuranceadmin.com/agent/login.php#,https://insuranceadmin.com/agent/login.php#,,,,,,,,,,,https://account.americoagent.com/Identity/Account/Login/?returnUrl=https%3a%2f%2ftools.americoagent.com%2f,https://account.americoagent.com/Identity/Account/Login/?returnUrl=https%3a%2f%2ftools.americoagent.com%2f
PAYMENT METHODS ,"DIRECT EXPRESS, CREDIT CARD, ACH","DIRECT EXPRESS, CREDIT CARD, ACH",ACH,ACH,ACH,,,,,,,"EFT, ACH, Money Orders (Quarterly, Semi-Annual, Annual)",,,,ACH,ACH,ACH,,"ACH, DIRECT BILLING (Quarterly, Semi Annually, or Annually)","ACH, DIRECT BILLING (Quarterly, Semi Annually, or Annually)","ACH, DIRECT BILLING (Quarterly, Semi Annually, or Annually)","ACH, DIRECT BILLING (Quarterly, Semi Annually, or Annually)",,,,,,,"ACH, Direct Billing (Quarterly, Semi -Annual, Annually)","ACH, Credit Card (For initial premium), Direct Billing (Quarterly, Semi -Annual, Annually)","ACH, CREDIT CARD (FOR INITIAL PREMIUM), DIRECT BILLING (Quarterly, Semi -Annual, Annually)","ACH, CREDIT CARD (FOR INITIAL PREMIUM), DIRECT BILLING (Quarterly, Semi -Annual, Annually)","ACH, Direct Bill (Monthly, Quarterly, Semi Annually, Annually)","ACH, Direct Bill (Monthly, Quarterly, Semi Annually, Annually)","ACH, Direct Bill (Monthly, Quarterly, Semi Annually, Annually)","ACH, Direct Bill (Monthly, Quarterly, Semi Annually, Annually)","E-check, Bank Draft
Monthly, Quarterly, Semi-annual, Annual",ACH,ACH,"EFT(First Draft), ACH, Money Order (Quarterly)",,,,"DIRECT EXPRESS, CREDIT/DEBIT CARD, ACH,","DIRECT EXPRESS, CREDIT/DEBIT CARD, ACH,","DIRECT EXPRESS, CREDIT/DEBIT CARD, ACH,","EFT, Credit Card (For initial premium)",,"ACH, DIRECT BILLING (Quarterly, Semi Annually, or Annually)","ACH, DIRECT BILLING (Quarterly, Semi Annually, or Annually)","ACH, DIRECT BILLING (Quarterly, Semi Annually, or Annually)",,"ACH, DIRECT BILLING (Quarterly, Semi Annually, or Annually)",,"ACH, DEBIT CARDS, DIRECT EXPRESS","ACH, DEBIT CARDS, DIRECT EXPRESS","ACH, DEBIT CARDS, DIRECT EXPRESS",,,,,,,,,,,,,,ACH
"ADL's (Requires help with daily living activities (taking meds, bathing, dressing, eating, toileting))",Y,"If ""Is assistance currently being received due to a chronic or debilitating condition?"" answered ""Yes"" , Decline
",Decline,Decline,Decline,"If treated within 1 year, Decline
","If treated within 1 year, Decline
","If currently, Decline
",,Level,"If currently, Graded
","If currently, Decline
","If treated within 1 year, Decline
","If currently, Guaranteed
","If currently, Select
",Decline,Decline,Decline,"If currently, Decline
",Decline,Decline,Decline,C ADDITIONAL INFORMATION REQUIRED ON APPLICATION,"If currently, Guaranteed Issue
",Graded,Level,"If treated within 1 year, Decline
","Level
","If currently, Modified
",Approved,"If currently, Decline
",Decline,Decline,Decline,Decline,Decline,Decline,NA,Application and Underwiting Guidelines Do Not Specify,Application and Underwiting Guidelines Do Not Specify,"Guaranteed Issue
",Level,"If currently, Decline
","If currently, Decline
",Application and Underwiting Guidelines Do Not Specify,Application and Underwiting Guidelines Do Not Specify,Application and Underwiting Guidelines Do Not Specify,"If treated within 2 years, Graded
",,Decline,Decline,Decline,"If currently, Decline
",Decline,"If currently, Modified
","If currently, Decline
",Decline,Decline,"If treated within 2 years, Decline
","If currently, Decline
","If currently, Decline
","If currently, Decline
","If currently, Decline
","If currently, Decline
","If treated within 6 months, Decline
","If currently, Decline
",,,,,"If ""Is assistance currently being received due to a chronic or debilitating condition?"" answered ""Yes"" , Decline
",Decline
"ADL""S (ASSISTANCE WITH DAILY LIVING)",NA,"If ""Is assistance currently being received due to a chronic or debilitating condition?"" answered ""Yes"" , Decline
",,,,"If treated within 1 year, Decline
","If treated within 1 year, Decline
","If currently, Decline
",,Level,"If currently, Graded
","If currently, Decline
","If treated within 1 year, Decline
","If currently, Guaranteed
","If currently, Select
",NA,NA,NA,"If currently, Decline
",,,,,"If currently, Guaranteed Issue
",GRADED,Level,"If treated within 1 year, Decline
","Level
","If currently, Modified
",Approved,"If currently, Decline
",,,NA,NA,NA,NA,NA,,,"Guaranteed Issue
",Level,"If currently, Decline
","If currently, Decline
",,,,"If treated within 2 years, Graded
",,,,,"If currently, Decline
",,"If currently, Modified
","If currently, Decline
",,,"If treated within 2 years, Decline
","If currently, Decline
","If currently, Decline
","If currently, Decline
","If currently, Decline","If currently, Decline
","If treated within 6 months, Decline
","If currently, Decline
",,,,,"If ""Is assistance currently being received due to a chronic or debilitating condition?"" answered ""Yes"" , Decline
",
